SOURCE,TARGET,TYPE,IS_GENE_GENE
COLGALT1,5HXKYNOXDA,Gene->Reaction,
COLGALT1,APRTO2,Gene->Reaction,
COLGALT1,MACOXO,Gene->Reaction,
COLGALT1,MAOLNOR,Gene->Reaction,
COLGALT1,PEAMNO,Gene->Reaction,
COLGALT1,TRYPTAOX,Gene->Reaction,
COLGALT1,TYROXDAc,Gene->Reaction,
COLGALT1,HMR_6747,Gene->Reaction,
SARS-CoV2,nsp12,BCKDK,Gene->Gene
BCKDK,3SALACBOXL,Gene->Reaction,
BCKDK,GLUDC,Gene->Reaction,
BCKDK,LCYSTCBOXL,Gene->Reaction,
SARS-CoV2,nsp12,MYCBP2,Gene->Gene
MYCBP2,3SALATAi,Gene->Reaction,
MYCBP2,CYSTA,Gene->Reaction,
MYCBP2,LCYSTAT,Gene->Reaction,
MYCBP2,ASPTA,Gene->Reaction,
MYCBP2,EHGLAT,Gene->Reaction,
MYCBP2,PHETA1,Gene->Reaction,
MYCBP2,TYRTA,Gene->Reaction,
SARS-CoV2,nsp12,RIPK1,Gene->Gene
RIPK1,4HGLSDm,Gene->Reaction,
RIPK1,5HOXINDACTOXm,Gene->Reaction,
RIPK1,ALDD20xm,Gene->Reaction,
RIPK1,BAMPPALDOXm,Gene->Reaction,
RIPK1,GCALDDm,Gene->Reaction,
RIPK1,GLACOm,Gene->Reaction,
RIPK1,IMACTD_m,Gene->Reaction,
RIPK1,LCADi_Dm,Gene->Reaction,
RIPK1,LCADim,Gene->Reaction,
RIPK1,NABTNOm,Gene->Reaction,
RIPK1,P5CDm,Gene->Reaction,
RIPK1,PHCDm,Gene->Reaction,
RIPK1,PYLALDOXm,Gene->Reaction,
RIPK1,r0074,Gene->Reaction,
RIPK1,r0686,Gene->Reaction,
SARS-CoV2,nsp12,PPIL3,Gene->Gene
PPIL3,5FTHFt2,Gene->Reaction,
PPIL3,5MTHFt2,Gene->Reaction,
PPIL3,FOLt2,Gene->Reaction,
PPIL3,THFt2,Gene->Reaction,
PPIL3,THMMPt4,Gene->Reaction,
PPIL3,THMTPt,Gene->Reaction,
PPIL3,APRGSTRNt1e,Gene->Reaction,
PPIL3,MLTHFte2,Gene->Reaction,
SARS-CoV2,nsp13,CIT,Gene->Gene
CIT,5HOXINDACTOXm,Gene->Reaction,
CIT,ALDD20xm,Gene->Reaction,
CIT,ALDD2xm,Gene->Reaction,
CIT,ALDD2y,Gene->Reaction,
CIT,BAMPPALDOXm,Gene->Reaction,
CIT,GCALDDm,Gene->Reaction,
CIT,GLACOm,Gene->Reaction,
CIT,IMACTD_m,Gene->Reaction,
CIT,LCADi_Dm,Gene->Reaction,
CIT,LCADim,Gene->Reaction,
CIT,NABTNOm,Gene->Reaction,
CIT,PYLALDOXm,Gene->Reaction,
CIT,r0393,Gene->Reaction,
CIT,r0464,Gene->Reaction,
CIT,r0549,Gene->Reaction,
CIT,r0642,Gene->Reaction,
CIT,r0643,Gene->Reaction,
CIT,r0688,Gene->Reaction,
CIT,r0758,Gene->Reaction,
CIT,RE3012M,Gene->Reaction,
CIT,RE3346M,Gene->Reaction,
CIT,ALDD2x,Gene->Reaction,
CIT,r0392,Gene->Reaction,
CIT,HMR_4079,Gene->Reaction,
SARS-CoV2,nsp13,PRKAR2A,Gene->Gene
PRKAR2A,5HTRPVESSEC,Gene->Reaction,
PRKAR2A,ADRNLPVESSEC,Gene->Reaction,
PRKAR2A,DOPAVESSEC,Gene->Reaction,
PRKAR2A,HISTAVESSEC,Gene->Reaction,
PRKAR2A,NRPPHRVESSEC,Gene->Reaction,
SARS-CoV2,nsp13,PRKACA,Gene->Gene
PRKACA,5MTHFt,Gene->Reaction,
SARS-CoV2,nsp13,PRKAR2B,Gene->Gene
PRKAR2B,5MTHFt,Gene->Reaction,
SARS-CoV2,nsp13,USP13,Gene->Gene
USP13,ACACT1x,Gene->Reaction,
USP13,ACACT1r,Gene->Reaction,
SARS-CoV2,nsp13,TBK1,Gene->Gene
TBK1,ACCOAgt,Gene->Reaction,
TBK1,ACCOAtr,Gene->Reaction,
TBK1,GAO1,Gene->Reaction,
TBK1,GAO1g,Gene->Reaction,
TBK1,GAO2,Gene->Reaction,
TBK1,GAO2g,Gene->Reaction,
SARS-CoV2,nsp14,GLA,Gene->Gene
GLA,ACCOALm,Gene->Reaction,
GLA,ACSm,Gene->Reaction,
GLA,r0068,Gene->Reaction,
GLA,r0097,Gene->Reaction,
GLA,r0221,Gene->Reaction,
GLA,r0319,Gene->Reaction,
GLA,r0220,Gene->Reaction,
GLA,r0318,Gene->Reaction,
SARS-CoV2,nsp14,IMPDH2,Gene->Gene
IMPDH2,ACCOALm,Gene->Reaction,
IMPDH2,r0221,Gene->Reaction,
IMPDH2,r0319,Gene->Reaction,
IMPDH2,r0220,Gene->Reaction,
IMPDH2,r0318,Gene->Reaction,
SARS-CoV2,nsp14,SIRT5,Gene->Gene
SIRT5,ACGAM2E,Gene->Reaction,
SARS-CoV2,nsp15,RNF41,Gene->Gene
RNF41,ACGAMPM,Gene->Reaction,
SARS-CoV2,nsp2,SLC27A2,Gene->Gene
SLC27A2,ACGPID,Gene->Reaction,
SLC27A2,HMR_7186,Gene->Reaction,
SARS-CoV2,nsp2,POR,Gene->Gene
POR,ACHEe,Gene->Reaction,
POR,HMR_0641,Gene->Reaction,
SARS-CoV2,nsp4,ALG11,Gene->Gene
ALG11,ACNAMPH,Gene->Reaction,
SARS-CoV2,nsp5_C145A,GPX1,Gene->Gene
GPX1,ACOAD1fm,Gene->Reaction,
GPX1,PPCOAOm,Gene->Reaction,
GPX1,r0706,Gene->Reaction,
GPX1,HMR_3107,Gene->Reaction,
GPX1,HMR_3111,Gene->Reaction,
GPX1,HMR_3115,Gene->Reaction,
GPX1,HMR_3121,Gene->Reaction,
GPX1,HMR_3128,Gene->Reaction,
GPX1,HMR_3135,Gene->Reaction,
GPX1,HMR_3142,Gene->Reaction,
GPX1,HMR_3149,Gene->Reaction,
GPX1,HMR_3170,Gene->Reaction,
GPX1,HMR_3174,Gene->Reaction,
GPX1,HMR_3178,Gene->Reaction,
GPX1,HMR_3182,Gene->Reaction,
GPX1,HMR_3186,Gene->Reaction,
GPX1,HMR_3190,Gene->Reaction,
GPX1,HMR_3194,Gene->Reaction,
GPX1,HMR_3198,Gene->Reaction,
GPX1,HMR_3218,Gene->Reaction,
GPX1,HMR_3222,Gene->Reaction,
GPX1,HMR_3230,Gene->Reaction,
GPX1,HMR_3234,Gene->Reaction,
GPX1,HMR_3240,Gene->Reaction,
GPX1,HMR_3244,Gene->Reaction,
GPX1,HMR_3398,Gene->Reaction,
GPX1,HMR_3406,Gene->Reaction,
GPX1,HMR_3407,Gene->Reaction,
GPX1,HMR_3408,Gene->Reaction,
GPX1,HMR_3409,Gene->Reaction,
GPX1,HMR_3411,Gene->Reaction,
GPX1,HMR_3413,Gene->Reaction,
GPX1,HMR_3414,Gene->Reaction,
GPX1,HMR_3416,Gene->Reaction,
GPX1,HMR_3421,Gene->Reaction,
GPX1,HMR_3422,Gene->Reaction,
GPX1,HMR_3423,Gene->Reaction,
GPX1,HMR_3424,Gene->Reaction,
GPX1,HMR_3425,Gene->Reaction,
GPX1,HMR_3426,Gene->Reaction,
GPX1,HMR_3427,Gene->Reaction,
GPX1,HMR_3428,Gene->Reaction,
GPX1,HMR_3429,Gene->Reaction,
GPX1,HMR_3431,Gene->Reaction,
GPX1,HMR_3432,Gene->Reaction,
GPX1,HMR_3433,Gene->Reaction,
GPX1,HMR_3448,Gene->Reaction,
GPX1,HMR_3452,Gene->Reaction,
GPX1,HMR_3456,Gene->Reaction,
GPX1,HMR_9719,Gene->Reaction,
GPX1,HMR_3258,Gene->Reaction,
SARS-CoV2,nsp5_C145A,TRMT1,Gene->Gene
TRMT1,ACOAD8m,Gene->Reaction,
TRMT1,r0655,Gene->Reaction,
SARS-CoV2,nsp7,AGPS,Gene->Gene
AGPS,ACODA,Gene->Reaction,
AGPS,RE2640C,Gene->Reaction,
SARS-CoV2,nsp7,ACSL3,Gene->Gene
ACSL3,ACONTm,Gene->Reaction,
ACSL3,r0317,Gene->Reaction,
ACSL3,r0426,Gene->Reaction,
ACSL3,ACONT,Gene->Reaction,
SARS-CoV2,nsp7,CYB5R3,Gene->Gene
CYB5R3,ACONTm,Gene->Reaction,
CYB5R3,r0317,Gene->Reaction,
CYB5R3,r0426,Gene->Reaction,
SARS-CoV2,nsp7,COMT,Gene->Gene
COMT,ACP1_FMN_,Gene->Reaction,
COMT,FMNALKPle,Gene->Reaction,
COMT,HMR_4270,Gene->Reaction,
COMT,HMR_7618,Gene->Reaction,
SARS-CoV2,nsp7,MOGS,Gene->Gene
MOGS,ADEtl,Gene->Reaction,
MOGS,ADNtl,Gene->Reaction,
MOGS,CYTDtl,Gene->Reaction,
MOGS,GSNtl,Gene->Reaction,
MOGS,HXANtl,Gene->Reaction,
MOGS,INStl,Gene->Reaction,
MOGS,THYMDtl,Gene->Reaction,
MOGS,Uritl,Gene->Reaction,
SARS-CoV2,nsp7,HS2ST1,Gene->Gene
HS2ST1,ADK3,Gene->Reaction,
HS2ST1,ADKd,Gene->Reaction,
HS2ST1,CYTK3,Gene->Reaction,
HS2ST1,CYTK4,Gene->Reaction,
HS2ST1,ADK1,Gene->Reaction,
SARS-CoV2,nsp7,SCARB1,Gene->Gene
SCARB1,ADK1m,Gene->Reaction,
SCARB1,r0345,Gene->Reaction,
SARS-CoV2,nsp7,PTGES2,Gene->Gene
PTGES2,ADNCYC,Gene->Reaction,
SARS-CoV2,nsp8,ATE1,Gene->Gene
ATE1,ADNCYC,Gene->Reaction,
SARS-CoV2,nsp8,NARS2,Gene->Gene
NARS2,ADNt4,Gene->Reaction,
NARS2,CYTDt4,Gene->Reaction,
NARS2,THMDt4,Gene->Reaction,
NARS2,URIt4,Gene->Reaction,
SARS-CoV2,nsp8,HECTD1,Gene->Gene
HECTD1,ADPRDPm,Gene->Reaction,
SARS-CoV2,nsp9,MIB1,Gene->Gene
MIB1,ADSL1,Gene->Reaction,
MIB1,ADSL2,Gene->Reaction,
SARS-CoV2,nsp9,NEK9,Gene->Gene
NEK9,ADSS,Gene->Reaction,
SARS-CoV2,nsp9,MAT2B,Gene->Gene
MAT2B,AG13T10g,Gene->Reaction,
MAT2B,AG13T11g,Gene->Reaction,
MAT2B,AG13T12g,Gene->Reaction,
MAT2B,AG13T13g,Gene->Reaction,
MAT2B,AG13T14g,Gene->Reaction,
MAT2B,AG13T15g,Gene->Reaction,
MAT2B,AG13T16g,Gene->Reaction,
MAT2B,AG13T17g,Gene->Reaction,
MAT2B,AG13T18g,Gene->Reaction,
MAT2B,AG13T1g,Gene->Reaction,
MAT2B,AG13T2g,Gene->Reaction,
MAT2B,AG13T3g,Gene->Reaction,
MAT2B,AG13T4g,Gene->Reaction,
MAT2B,AG13T5g,Gene->Reaction,
MAT2B,AG13T6g,Gene->Reaction,
MAT2B,AG13T7g,Gene->Reaction,
MAT2B,AG13T8g,Gene->Reaction,
MAT2B,AG13T9g,Gene->Reaction,
MAT2B,HMR_0889,Gene->Reaction,
MAT2B,HMR_0891,Gene->Reaction,
SARS-CoV2,orf10,PPT1,Gene->Gene
PPT1,AG13T10g,Gene->Reaction,
PPT1,AG13T11g,Gene->Reaction,
PPT1,AG13T12g,Gene->Reaction,
PPT1,AG13T13g,Gene->Reaction,
PPT1,AG13T14g,Gene->Reaction,
PPT1,AG13T15g,Gene->Reaction,
PPT1,AG13T16g,Gene->Reaction,
PPT1,AG13T17g,Gene->Reaction,
PPT1,AG13T18g,Gene->Reaction,
PPT1,AG13T1g,Gene->Reaction,
PPT1,AG13T2g,Gene->Reaction,
PPT1,AG13T3g,Gene->Reaction,
PPT1,AG13T4g,Gene->Reaction,
PPT1,AG13T5g,Gene->Reaction,
PPT1,AG13T6g,Gene->Reaction,
PPT1,AG13T7g,Gene->Reaction,
PPT1,AG13T8g,Gene->Reaction,
PPT1,AG13T9g,Gene->Reaction,
PPT1,HMR_0765,Gene->Reaction,
SARS-CoV2,orf10,THTPA,Gene->Gene
THTPA,AG13T10g,Gene->Reaction,
THTPA,AG13T11g,Gene->Reaction,
THTPA,AG13T12g,Gene->Reaction,
THTPA,AG13T13g,Gene->Reaction,
THTPA,AG13T14g,Gene->Reaction,
THTPA,AG13T15g,Gene->Reaction,
THTPA,AG13T16g,Gene->Reaction,
THTPA,AG13T17g,Gene->Reaction,
THTPA,AG13T18g,Gene->Reaction,
THTPA,AG13T1g,Gene->Reaction,
THTPA,AG13T2g,Gene->Reaction,
THTPA,AG13T3g,Gene->Reaction,
THTPA,AG13T4g,Gene->Reaction,
THTPA,AG13T5g,Gene->Reaction,
THTPA,AG13T6g,Gene->Reaction,
THTPA,AG13T7g,Gene->Reaction,
THTPA,AG13T8g,Gene->Reaction,
THTPA,AG13T9g,Gene->Reaction,
THTPA,B3GNT310g,Gene->Reaction,
THTPA,B3GNT311g,Gene->Reaction,
THTPA,B3GNT312g,Gene->Reaction,
THTPA,B3GNT313g,Gene->Reaction,
THTPA,B3GNT314g,Gene->Reaction,
THTPA,B3GNT315g,Gene->Reaction,
THTPA,B3GNT31g,Gene->Reaction,
THTPA,B3GNT32g,Gene->Reaction,
THTPA,B3GNT33g,Gene->Reaction,
THTPA,B3GNT34g,Gene->Reaction,
THTPA,B3GNT35g,Gene->Reaction,
THTPA,B3GNT36g,Gene->Reaction,
THTPA,B3GNT37g,Gene->Reaction,
THTPA,B3GNT39g,Gene->Reaction,
THTPA,HMR_0765,Gene->Reaction,
THTPA,HMR_0889,Gene->Reaction,
THTPA,HMR_0891,Gene->Reaction,
SARS-CoV2,orf3a,HMOX1,Gene->Gene
HMOX1,AGPAT1,Gene->Reaction,
HMOX1,HMR_0580,Gene->Reaction,
HMOX1,HMR_0588,Gene->Reaction,
HMOX1,HMR_0589,Gene->Reaction,
HMOX1,HMR_0590,Gene->Reaction,
HMOX1,HMR_0591,Gene->Reaction,
HMOX1,HMR_0592,Gene->Reaction,
HMOX1,HMR_0593,Gene->Reaction,
HMOX1,HMR_0594,Gene->Reaction,
SARS-CoV2,orf3a,ALG5,Gene->Gene
ALG5,AGPSx,Gene->Reaction,
ALG5,HMR_7594,Gene->Reaction,
SARS-CoV2,orf8,PLOD2,Gene->Gene
PLOD2,AHEXASE2ly,Gene->Reaction,
PLOD2,AHEXASEly,Gene->Reaction,
PLOD2,NACHEX10ly,Gene->Reaction,
PLOD2,NACHEX11ly,Gene->Reaction,
PLOD2,NACHEX12ly,Gene->Reaction,
PLOD2,NACHEX13ly,Gene->Reaction,
PLOD2,NACHEX14ly,Gene->Reaction,
PLOD2,NACHEX15ly,Gene->Reaction,
PLOD2,NACHEX16ly,Gene->Reaction,
PLOD2,NACHEX17ly,Gene->Reaction,
PLOD2,NACHEX18ly,Gene->Reaction,
PLOD2,NACHEX19ly,Gene->Reaction,
PLOD2,NACHEX1ly,Gene->Reaction,
PLOD2,NACHEX20ly,Gene->Reaction,
PLOD2,NACHEX21ly,Gene->Reaction,
PLOD2,NACHEX22ly,Gene->Reaction,
PLOD2,NACHEX23ly,Gene->Reaction,
PLOD2,NACHEX24ly,Gene->Reaction,
PLOD2,NACHEX25ly,Gene->Reaction,
PLOD2,NACHEX26ly,Gene->Reaction,
PLOD2,NACHEX27ly,Gene->Reaction,
PLOD2,NACHEX2ly,Gene->Reaction,
PLOD2,NACHEX3ly,Gene->Reaction,
PLOD2,NACHEX4ly,Gene->Reaction,
PLOD2,NACHEX5ly,Gene->Reaction,
PLOD2,NACHEX6ly,Gene->Reaction,
PLOD2,NACHEX7ly,Gene->Reaction,
PLOD2,NACHEX8ly,Gene->Reaction,
PLOD2,NACHEX9ly,Gene->Reaction,
PLOD2,NACHEXA10ly,Gene->Reaction,
PLOD2,NACHEXA11ly,Gene->Reaction,
PLOD2,NACHEXA12ly,Gene->Reaction,
PLOD2,NACHEXA13ly,Gene->Reaction,
PLOD2,NACHEXA14ly,Gene->Reaction,
PLOD2,NACHEXA15ly,Gene->Reaction,
PLOD2,NACHEXA16ly,Gene->Reaction,
PLOD2,NACHEXA17ly,Gene->Reaction,
PLOD2,NACHEXA18ly,Gene->Reaction,
PLOD2,NACHEXA19ly,Gene->Reaction,
PLOD2,NACHEXA1ly,Gene->Reaction,
PLOD2,NACHEXA20ly,Gene->Reaction,
PLOD2,NACHEXA21ly,Gene->Reaction,
PLOD2,NACHEXA22ly,Gene->Reaction,
PLOD2,NACHEXA2ly,Gene->Reaction,
PLOD2,NACHEXA3ly,Gene->Reaction,
PLOD2,NACHEXA4ly,Gene->Reaction,
PLOD2,NACHEXA5ly,Gene->Reaction,
PLOD2,NACHEXA6ly,Gene->Reaction,
PLOD2,NACHEXA7ly,Gene->Reaction,
PLOD2,NACHEXA8ly,Gene->Reaction,
PLOD2,NACHEXA9ly,Gene->Reaction,
PLOD2,r0013,Gene->Reaction,
PLOD2,HEXA1l,Gene->Reaction,
PLOD2,HEXA2l,Gene->Reaction,
PLOD2,HEXA3e,Gene->Reaction,
PLOD2,HEXAHBl,Gene->Reaction,
PLOD2,HMR_0807,Gene->Reaction,
PLOD2,HMR_0808,Gene->Reaction,
PLOD2,HMR_0821,Gene->Reaction,
PLOD2,HMR_0828,Gene->Reaction,
PLOD2,HMR_0836,Gene->Reaction,
SARS-CoV2,orf8,DNMT1,Gene->Gene
DNMT1,AKR1C1,Gene->Reaction,
DNMT1,HMR_2003,Gene->Reaction,
DNMT1,HMR_2016,Gene->Reaction,
DNMT1,HMR_2018,Gene->Reaction,
DNMT1,HMR_7005,Gene->Reaction,
DNMT1,HMR_7059,Gene->Reaction,
DNMT1,HMR_9804,Gene->Reaction,
SARS-CoV2,orf8,LOX,Gene->Gene
LOX,AKR1C41,Gene->Reaction,
LOX,AKR1C42,Gene->Reaction,
LOX,HSD3A1r,Gene->Reaction,
LOX,HSD3A2r,Gene->Reaction,
LOX,r0747,Gene->Reaction,
LOX,r0750,Gene->Reaction,
LOX,HMR_1742,Gene->Reaction,
LOX,HMR_1743,Gene->Reaction,
LOX,HMR_1770,Gene->Reaction,
LOX,HMR_1771,Gene->Reaction,
LOX,HMR_2003,Gene->Reaction,
LOX,HMR_2016,Gene->Reaction,
LOX,HMR_2018,Gene->Reaction,
LOX,HMR_7005,Gene->Reaction,
LOX,HMR_7059,Gene->Reaction,
LOX,HMR_9804,Gene->Reaction,
SARS-CoV2,orf8,PLD3,Gene->Gene
PLD3,ALASm,Gene->Reaction,
PLD3,r0196,Gene->Reaction,
PLD3,r0517,Gene->Reaction,
PLD3,HMR_0027,Gene->Reaction,
SARS-CoV2,orf8,CHPF,Gene->Gene
CHPF,ALAt4,Gene->Reaction,
CHPF,HOMt4,Gene->Reaction,
CHPF,LEUt4,Gene->Reaction,
CHPF,LYStiDF,Gene->Reaction,
CHPF,ORNtiDF,Gene->Reaction,
CHPF,PHEt4,Gene->Reaction,
CHPF,r0817,Gene->Reaction,
CHPF,ARGtD,Gene->Reaction,
SARS-CoV2,orf8,GGH,Gene->Gene
GGH,ALAt4,Gene->Reaction,
GGH,ASNt4,Gene->Reaction,
GGH,GLYt4,Gene->Reaction,
GGH,LEUt4,Gene->Reaction,
GGH,METt4,Gene->Reaction,
GGH,PHEt4,Gene->Reaction,
GGH,PROt4,Gene->Reaction,
GGH,SERt4,Gene->Reaction,
GGH,THRt4,Gene->Reaction,
GGH,GLNt4,Gene->Reaction,
GGH,SELMETHte,Gene->Reaction,
SARS-CoV2,orf8,NGLY1,Gene->Gene
NGLY1,ALAt4,Gene->Reaction,
NGLY1,ASNt4,Gene->Reaction,
NGLY1,CYSt4,Gene->Reaction,
NGLY1,GLYt4,Gene->Reaction,
NGLY1,ILEt4,Gene->Reaction,
NGLY1,LEUt4,Gene->Reaction,
NGLY1,METt4,Gene->Reaction,
NGLY1,PHEt4,Gene->Reaction,
NGLY1,PROt4,Gene->Reaction,
NGLY1,SERt4,Gene->Reaction,
NGLY1,THRt4,Gene->Reaction,
NGLY1,TRPt4,Gene->Reaction,
NGLY1,TYRt4,Gene->Reaction,
NGLY1,VALt4,Gene->Reaction,
NGLY1,GLNt4,Gene->Reaction,
NGLY1,SELMETHte,Gene->Reaction,
SARS-CoV2,orf8,HS6ST2,Gene->Gene
HS6ST2,ALAt4,Gene->Reaction,
HS6ST2,ASNt4,Gene->Reaction,
HS6ST2,CYSt4,Gene->Reaction,
HS6ST2,GLYt4,Gene->Reaction,
HS6ST2,ILEt4,Gene->Reaction,
HS6ST2,LEUt4,Gene->Reaction,
HS6ST2,METt4,Gene->Reaction,
HS6ST2,PHEt4,Gene->Reaction,
HS6ST2,PROt4,Gene->Reaction,
HS6ST2,SERt4,Gene->Reaction,
HS6ST2,THRt4,Gene->Reaction,
HS6ST2,TRPt4,Gene->Reaction,
HS6ST2,TYRt4,Gene->Reaction,
HS6ST2,VALt4,Gene->Reaction,
HS6ST2,4OHPROIMINOtc,Gene->Reaction,
HS6ST2,PROIMINOtc,Gene->Reaction,
HS6ST2,ALAB0AT3tc,Gene->Reaction,
HS6ST2,ARGB0AT3tc,Gene->Reaction,
HS6ST2,ASNB0AT3tc,Gene->Reaction,
HS6ST2,CYSB0AT3tc,Gene->Reaction,
HS6ST2,GLNB0AT3tc,Gene->Reaction,
HS6ST2,GLUB0AT3tc,Gene->Reaction,
HS6ST2,GLYB0AT3tc,Gene->Reaction,
HS6ST2,ILEB0AT3tc,Gene->Reaction,
HS6ST2,LEUB0AT3tc,Gene->Reaction,
HS6ST2,METB0AT3tc,Gene->Reaction,
HS6ST2,PHEB0AT3tc,Gene->Reaction,
HS6ST2,SERB0AT3tc,Gene->Reaction,
HS6ST2,TRPB0AT3tc,Gene->Reaction,
HS6ST2,TYRB0AT3tc,Gene->Reaction,
HS6ST2,VALB0AT3tc,Gene->Reaction,
HS6ST2,GLNt4,Gene->Reaction,
HS6ST2,SELMETHte,Gene->Reaction,
SARS-CoV2,orf8,NEU1,Gene->Gene
NEU1,ALATA_L,Gene->Reaction,
NEU1,r0081,Gene->Reaction,
NEU1,VANILPYRc,Gene->Reaction,
SARS-CoV2,orf8,UGGT2,Gene->Gene
UGGT2,ALDD20x,Gene->Reaction,
